ID EVENT uniek	E_aantal keer vermeld	Titel	DATUM KRANT	Onderwerp	Thema's_categorie	city	country	continent	spreker_samengevoegd	organisator1_gestandaardiseerd	Locatie	Locatie_gestandaardiseerd	STAD STANDAARD_GEGROEPEERD	period
EID2561	5.0	Le Peuple	1914-05-08 00:00:00	la vie de famillie chez les indigènes	maatschappelijk		Congo	Afrika	DubreucqRené	Oeuvre de l'enfance noire au Congo	l'Union coloniale	Union Coloniale	Brussel	1914-1918
EID4857	2.0	Le Soir	1923-01-27 00:00:00	"""La Tchecoslovaquie, pittoresque, économique et politique"""	travel		Tsjecho-Slowakije	Europa	FichefetJules	Oeuvre d'éducation populaire	école normale	Ecole normale de Bruxelles/Ecole normale Charles-Buls	Brussel	1922-1924
EID5152	2.0	L'Indépendance Belge	1923-02-25 00:00:00	Les traditions et l'art populaire tchécoslovaques	kunst		Tsjecho-Slowakije	Europa	FichefetJules	Oeuvre d'éducation populaire	l'Ecole normale	Ecole normale de Bruxelles	Brussel	1922-1924
EID5310	1.0	L'Indépendance Belge	1923-03-19 00:00:00	Les villes d'eaux tchéco-slovaques	travel		Tsjecho-Slowakije	Europa	FichefetJules	Oeuvre d'éducation populaire	l'Ecole normale	Ecole normale de Bruxelles	Brussel	1922-1924
EID6214	2.0	L'Indépendance Belge	1923-12-10 00:00:00	Les chasses en Afrique	maatschappelijk		Congo	Afrika	PauwelsHenri	Oeuvre d'éducation populaire	l'Ecole n. 3	Ecole n°3	Brussel	1922-1924
EID6391	1.0	Le Soir	1924-01-13 00:00:00	"""Pays et habitants du Congo"""	travel		Congo	Afrika	MaesJ.	Oeuvre d'éducation populaire		Ecole n°3	Brussel	1922-1924
EID6600	1.0	Le Soir	1924-02-10 00:00:00	"""La femme congolaise"""	maatschappelijk		Congo	Afrika	Saroléa	Oeuvre d'éducation populaire	L'école Nr. 3	Ecole n°3	Brussel	1922-1924
EID6854	1.0	Le Soir	1924-03-22 00:00:00	"""Un site ménacé: la vallée supérieure de l'Ourthe"""	travel	Luxemburg	België	Europa	ChargoisCharles Victor Dominique Pierre	Oeuvre d'éducation populaire	L'école normale	Ecole normale de Bruxelles/Ecole normale Charles-Buls	Brussel	1922-1924
EID7264	1.0	L'Indépendance Belge	1924-10-18 00:00:00	La Bretagne	travel	Bretagne	Frankrijk	Europa	DoehaerdR. 	Oeuvre d'éducation populaire	l'école normale	Ecole normale de Bruxelles	Brussel	1922-1924
EID2534	1.0	Le Vingtième Siècle	1914-05-01 00:00:00	l'expansion chrétienne au Congo Belge	travel		Congo	Afrika	Vermeersch	Oeuvre des conferences-expositions coloniales	la grande salle du collège St-Servais		Rest	1914-1918
EID5649	3.0	Journal De Bruxelles	1923-08-10 00:00:00	Lulua Missie Katanga (Congo)	maatschappelijk		Congo	Afrika	Van de VeldeStanislas	Oeuvre des conferences-expositions coloniales	Exposition des Mission		Rest	1922-1924
EID5655	3.0	Journal De Bruxelles	1923-08-10 00:00:00	Hoog-Uele (Congo)	travel		Congo	Afrika	Geerts	Oeuvre des conferences-expositions coloniales	Exposition des Mission		Rest	1922-1924
EID5663	3.0	Journal De Bruxelles	1923-08-18 00:00:00	Indië	travel		India	Azië	VitalO.	Oeuvre des conferences-expositions coloniales	Exposition des Missions		Rest	1922-1924
EID5667	3.0	Journal De Bruxelles	1923-08-10 00:00:00	Hiosota en Congo	travel		Congo	Afrika		Oeuvre des conferences-expositions coloniales	Exposition des Mission		Rest	1922-1924
EID1222	2.0	Journal De Bruxelles	1904-01-18 00:00:00	Impressions d'Algérie	travel		Algerije	Afrika	t'SerstevensGaston	Oeuvre des missions du Congo	Cercle catholique		Rest	1902-1904
EID1295	1.0	La Métropole 	1904-02-09 00:00:00	Souvenirs et impressions d'Orient	travel			Azië	BrifautValentin Léonce	Oeuvre des missions du Congo	grande salle du Cercle catholique	Katholieken Kring	Antwerpen	1902-1904
EID4787	8.0	L'Indépendance Belge	1922-12-14 00:00:00	Inondations de 1914	maatschappelijk			Europa	UméFernand Paul Joseph	Oeuvre patriotique des Monuments aux Glorieux Morts	la salle de l'Union Coloniale	Union Coloniale	Brussel	1922-1924
EID7442	1.0	Journal De Bruxelles	1924-11-09 00:00:00	L'Evangélisation du Congo belge	maatschappelijk		Congo	Afrika	Mols	Oeuvre pontificale de la Propagation de la foi	local van de organisator	Centrale chrétienne du Travail	Brussel	1922-1924
EID7491	3.0	Journal De Bruxelles	1924-11-09 00:00:00	Le Sud-Afrique, pays de Mission	maatschappelijk		Congo	Afrika	HermantL.	Oeuvre pontificale de la Propagation de la foi	local van de organisator	zaal Pletinckx	Brussel	1922-1924
EID7552	1.0	Journal De Bruxelles	1924-11-09 00:00:00	La Chine païenne et nous	travel		China	Azië	Angelin	Oeuvre pontificale de la Propagation de la foi	local van de organisator	Centrale chrétienne du Travail	Brussel	1922-1924
EID7602	1.0	Journal De Bruxelles	1924-11-09 00:00:00	Les missionairres catholiques aux Iles Philippines	maatschappelijk		Filipijnen 	Azië	Cools	Oeuvre pontificale de la Propagation de la foi	local van de organisator	Centrale chrétienne du Travail	Brussel	1922-1924
EID7184	2.0	De Standaard	1924-09-03 00:00:00	"""aangename bijeenkomsten voorbereid: twee voordrachten met lichtbeelden over 't Oosten en Palestina, declamaties en muziek"""	travel		Palestina	Azië		Onderwijzersretraite	Normaalschool 		Rest	1922-1924
EID1865	2.0	Gazet Van Antwerpen	1914-01-12 00:00:00	zijne reis naar het H. Land	travel		het Heilige Land	Azië	Janssens	Onze Vlaamsche Studiekring G. Jan Ruysbroeck				1914-1918
EID766	2.0	Le Peuple	1903-06-08 00:00:00	"""Sujet: Voyage en Sicile. Projections lumineuses"""	travel		Sicilië	Europa	LefébureCharles François Louis	Ordre des Bons Templiers	Université populaire du quartier de la rue Haute	Salle populaire	Brussel	1902-1904
EID783	1.0	Le Peuple	1903-06-15 00:00:00	"""Voyage en Espagne. Projections lumineuses. (Villes, pays. Courses de taureaux, etc.)"""	travel		Spanje	Europa	DemeuseEmiel	Ordre des Bons Templiers	Université populaire du quartier de la rue Haute	Salle populaire	Brussel	1902-1904
EID815	2.0	Le Peuple	1903-07-14 00:00:00	"""conférence avec projections lumineuses"" ""Voyage en Suisse par quelques touristes ouvriers"""	travel		Zwitserland	Europa	FischerFrans	Ordre des Bons Templiers	Université populaire du quartier de la rue Haute	Salle populaire	Brussel	1902-1904
EID994	1.0	Le Peuple	1903-12-08 00:00:00	"""Les bords du Rhin (2e partie). Projections lumineuses"""	travel			Europa	MahyAug.	Ordre des Bons Templiers	Université populaire du quartier de la rue Haute	Salle populaire	Brussel	1902-1904
EID5558	2.0	De Nieuwe Gazet	1923-05-30 00:00:00	la chasse aux grands fauves	maatschappelijk		Congo	Afrika	PauwelsHenri	Orpheuskring	feestzaal stadhuis		Rest	1922-1924
EID5580	1.0	De Nieuwe Gazet	1923-06-14 00:00:00	Belgisch Congo	travel		Congo	Afrika	SiebenArthur	Orpheuskring	grote zaal van het Stadshuis		Rest	1922-1924
EID3674	1.0	Het Handelsblad	1922-02-25 00:00:00	Congo	travel		Congo	Afrika	Van DammeCyrillus Josephus	Oud Soldaten van 't Hopland	soldatenzaal van 't Hopland	Soldatenzaal van 't Hopland	Antwerpen	1922-1924
EID4836	6.0	Het Laatste Nieuws	1922-12-23 00:00:00	"""het Beschavingswerk der Belgen in Kongo"""	maatschappelijk		Congo	Afrika	SiebenArthur	Oudleerlingenbond der Middelbare scholen	lokaal 'Spiegelhof'		Rest	1922-1924
EID6305	2.0	De Nieuwe Gazet	1923-12-22 00:00:00	Congo	travel		Congo	Afrika	SiebenArthur	Oudleerlingenbond der Middelbare scholen	Spiegelhof		Rest	1922-1924
EID6515	2.0	Het Laatste Nieuws	1924-01-05 00:00:00	Quelques particularites sur Rome	travel	Rome	Italië	Europa	De Weert-CogenAnna	Oudleerlingenbond der Middelbare scholen	Toneelzaal van den Liberalen Kring		Rest	1922-1924
EID7003	1.0	Het Laatste Nieuws	1924-04-24 00:00:00	Kunstschatten van Oost-Vlaanderen, buiten Gent	kunst		België	Europa	Van WerveckeA. 	Oudleerlingenbond der Middelbare scholen	Toneelzaal van den Liberalen Kring		Rest	1922-1924
EID6540	1.0	De Standaard	1924-02-06 00:00:00	"""tweede missie-avond"" ""De voordracht, met prachtige lichtbeelden opgeluisterd"" ""onzen roemvollen land- en geloofdsgenoot, den Eerw. Pater Damiaan, den Apostel der Melaatschen van Molokaï"""	geschiedenis		Hawaï	Amerika	Van den Bossche Ignatius 	Oud-Leerlingenbond St-Gregorius			Rest	1922-1924
EID5973	1.0	Het Handelsblad	1923-11-09 00:00:00	Pater Daminiaan, Apostel der Melaatschen van MolokaÏ	geschiedenis		Hawaï	Amerika	Van den Bossche Ignatius 	Oud-Leerlingenbond van Sint-Eligiusgesticht	de zaal der Eerw. Zusters	Eerwaarde Zusters	Antwerpen	1922-1924
EID6295	2.0	Het Nieuws van den Dag	1923-12-20 00:00:00	"""De roem en de ellende van het leger van Wrangel"""	maatschappelijk			Europa	Miller	Oudstrijdersbond	Koloniale zaal	Union Coloniale	Brussel	1922-1924
EID1907	1.0	Het Handelsblad	1914-01-13 00:00:00	"zijne ""Reizen in Noorwegen"""	travel		Noorwegen	Europa	De MeyPieter	Oud-Studentenbond van Sint-Nobertus' Gesticht	feestzaal van het St-Nobertus' Gesticht	Sint-Nobertusgesticht	Antwerpen	1914-1918
EID7563	1.0	De Standaard	1924-12-02 00:00:00	"""eene voordracht houden over ""Armenië"". Deze voordracht - welke opgeluisterd wordt met lichbeelden"""	travel		Armenië	Azië	Kerckhove Ladislas	parochiale bonden van het H. Hart	lokalen der school van het H. Hart		Rest	1922-1924
EID5912	2.0	De Nieuwe Gazet	1923-11-03 00:00:00	Brussel en omgeving	travel	Brussel	België	Europa		Patronage Victor Desguin 	jongensgemeenteschool	Ecole communale pour garçons n°16	Antwerpen	1922-1924
EID6095	1.0	De Nieuwe Gazet	1923-11-26 00:00:00	Gent en de Wereldtentoonstelling van 1913	maatschappelijk		België	Europa	Van TrielA. 	Patronage Victor Desguin 	lokaal der groote Hondstraat	Ecole communale pour garçons n°16	Antwerpen	1922-1924
EID6386	1.0	De Nieuwe Gazet	1924-01-12 00:00:00	De streek der Vesdre'	travel	Luik	België	Europa		Patronage Victor Desguin 	Jongensgemeenteschool 	Ecole communale pour garçons n°16	Antwerpen	1922-1924
